Track Name,artists,popularity,release_year,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre
Espresso,Sabrina Carpenter,91,2024,True,0.701,0.771,0,-5.486,1,0.0293,0.133,1.17e-05,0.197,0.661,103.982,175459,4,0
Whatever,Kygo,90,2024,False,0.576,0.776,3,-5.678,1,0.066,0.114,0.0,0.333,0.596,107.943,178273,4,0
Whatever She Wants,Bryson Tiller,90,2024,True,0.82,0.487,9,-7.358,0,0.0959,0.102,0.0,0.0803,0.431,96.028,161342,4,2
Gata Only,FloyyMenor,98,2024,True,0.791,0.499,8,-8.472,0,0.0509,0.446,2.41e-05,0.0899,0.669,99.986,222000,4,2
OKLOSER,Doja Cat,78,2024,True,0.898,0.674,1,-8.373,1,0.303,0.0255,0.0,0.0835,0.883,152.046,169067,4,0
I Don't Wanna Wait,David Guetta,85,2024,False,0.681,0.714,1,-4.617,0,0.0309,0.0375,0.0,0.232,0.554,129.976,149668,4,0
if u think i'm pretty,Artemas,82,2023,True,0.542,0.578,10,-6.094,0,0.0501,0.533,0.00756,0.556,0.399,143.646,113604,4,2
Magnetic,ILLIT,94,2024,False,0.797,0.668,6,-5.819,1,0.0687,0.257,0.0,0.0876,0.69,131.067,160688,4,5
II MOST WANTED,Beyoncé,87,2024,False,0.533,0.355,8,-6.132,1,0.0289,0.497,0.0,0.174,0.256,137.986,208521,4,2
FE!N (feat. Playboi Carti),Travis Scott,94,2023,True,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,191701,4,0
Die For You (with Ariana Grande) - Remix,The Weeknd,72,2023,False,0.578,0.516,1,-6.518,0,0.0599,0.261,0.0,0.288,0.519,66.993,232857,4,5
death bed (coffee for your head),Powfu,82,2020,False,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,173333,4,2
traitor,Olivia Rodrigo,87,2021,False,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,229227,4,5
Sunday Best,Surfaces,77,2019,False,0.869,0.555,5,-5.984,1,0.0454,0.137,0.0,0.0746,0.738,112.003,158948,4,2
Hell N Back (feat. Summer Walker),Bakar,81,2023,True,0.64,0.673,5,-4.519,0,0.563,0.288,2.15e-06,0.113,0.736,209.942,195147,4,2
Tell Ur Girlfriend,Lay Bankz,87,2024,True,0.866,0.741,7,-4.66,1,0.245,0.0933,0.0,0.0297,0.614,135.07,124444,4,2
Lady Killers II,G-Eazy,84,2024,True,0.673,0.567,7,-10.334,0,0.0322,0.0344,0.00506,0.151,0.497,136.005,297794,4,5
someday i'll get it,Alek Olsen,84,2023,False,0.438,0.051,8,-22.44,1,0.0373,0.93,0.916,0.113,0.102,102.711,94750,3,3
A Bar Song (Tipsy),Shaboozey,81,2024,True,0.741,0.719,9,-5.192,1,0.0302,0.113,0.0,0.166,0.657,81.018,174880,4,6
Soaked,Shy Smith,84,2021,True,0.9,0.67,1,-7.49,1,0.079,0.0533,0.0,0.0629,0.84,109.001,179450,4,2
act ii: date @ 8 (feat. Drake) - remix,4batz,87,2024,True,0.55,0.545,0,-9.304,1,0.163,0.318,0.0,0.0608,0.412,102.469,231339,4,2
Tadow,Masego,82,2018,False,0.704,0.487,9,-6.407,0,0.0604,0.669,8.64e-05,0.111,0.313,121.726,301893,4,2
No Fear,DeJ Loaf,81,2017,False,0.614,0.682,11,-4.117,0,0.102,0.387,0.0,0.134,0.566,100.202,169853,4,5
favorite,Isabel LaRosa,84,2024,False,0.726,0.652,10,-5.328,0,0.0779,0.00323,0.003,0.0905,0.625,97.032,133608,4,2
2 days into college,Aimee Carty,77,2023,False,0.611,0.303,11,-10.724,1,0.0705,0.968,5.11e-05,0.135,0.715,128.879,168113,4,1
Never Lose Me,Flo Milli,87,2023,True,0.781,0.567,1,-7.857,1,0.0969,0.0504,0.0,0.0981,0.0743,121.964,125902,4,0
Faster n Harder,6arelyhuman,80,2024,True,0.475,0.983,7,-1.83,1,0.198,0.0145,0.0,0.224,0.478,139.966,123429,4,4
Montagem Mysterious Game,LXNGVX,85,2023,False,0.537,0.64,1,-10.441,1,0.104,0.146,0.878,0.157,0.222,130.051,103495,4,0
